# Birth and death dates of famous composers.
# Adapted from: http://www.classical.net/music/composer/dates/comp3.php
# Dates in Month/Day/Year or Year format.
# Tab-separated fields.
# Birth	Death	Name
9/05/1735	1/01/1782	BACH, Johann Christian
10/10/1713	1/02/1780	KREBS, Johann Ludwig
5/18/1830	1/02/1915	GOLDMARK, Karl
10/18/1706	1/03/1785	GALUPPI, Baldassare
11/08/1770	1/03/1836	WITT, Friedrich
10/25/1864	1/03/1956	GRETCHANINOV, Alexander Tikhonovich
1676	1/06/1742	REINHARDT, Johann Georg
11/16/1766	1/06/1831	KREUTZER, Rodolphe
2/17/1653	1/08/1713	CORELLI, Arcangelo
1759	1/08/1831	KROMMER, Franz Vincenz
8/18/1849	1/10/1895	GODARD, Benjamin Louis Paul
2/26/1879	1/10/1941	BRIDGE, Frank
12/17/1749	1/11/1801	CIMAROSA, Domenico
1/13/1866	1/11/1901	KALINNIKOV, Vasily Sergeyevich
1/29/1784	1/13/1838	RIES, Ferdinand
7/04/1826	1/13/1864	FOSTER, Stephen Collins
5/15/1813	1/14/1888	HELLER, Stephen
12/09/1882	1/14/1949	TURINA, Joaquín
1701	1/15/1775	SAMMARTINI, Giovanni Battista
8/31/1834	1/16/1886	PONCHIELLI, Amilcare
2/21/1836	1/16/1891	DELIBES, Clement-Philibert-Leo
1682	1/17/1738	DANDRIEU, Jean-François
6/08/1671	1/17/1750	ALBINONI, Tomaso
1/27/1806	1/17/1826	ARRIAGA, Juan Crisostomo Jacobo Antonio de
2/14/1813	1/17/1869	DARGOMYZHSKY, Alexander
4/02/1803	1/20/1890	LACHNER, Franz
1/20/1870	1/21/1894	LEKEU, Guillaume
4/18/1863	1/21/1931	BLUMENFELD, Felix
1/12/1876	1/21/1948	WOLF-FERRARI, Ermanno
7/19/1811	1/22/1893	LACHNER, Vincenz
7/26/1782	1/23/1837	FIELD, John
12/18/1860	1/23/1908	MACDOWELL, Edward Alexander
3/09/1910	1/23/1981	BARBER, Samuel
1/23/1878	1/24/1960	BOUGHTON, Rutland
6/21/1732	1/26/1795	BACH, Johann Christoph Friedrich
2/14/1882	1/26/1948	FRIEDMAN, Ignaz
10/09/1813	1/27/1901	VERDI, Giuseppe Fortunino Frencesco
11/19/1859	1/28/1935	IPPOLITOV-IVANOV, Mikhail Mihaylovich
8/09/1874	1/28/1947	HAHN, Reynaldo
1/07/1899	1/30/1963	POULENC, Francis
4/13/1816	2/01/1875	BENNETT, Sir William Sterndale
1525	2/02/1594	PALESTRINA, Giovanni Perluigi
2/25/1727	2/02/1789	COUPERIN, Armand-Louis
3/09/1737	2/04/1781	MYSLIVECEK, Josef
8/15/1890	2/05/1962	IBERT, Jacques
4/06/1672	2/07/1749	DESTOUCHES, Andre-Cardinal
9/11/1711	2/07/1779	BOYCE, William
1/17/1850	2/07/1918	TANEYEV, Alexander Sergeievich
4/22/1658	2/08/1709	TORELLI, Giuseppe
12/11/1876	2/08/1909	KARLOWICZ, Mieczysław
9/29/1654	2/09/1740	LUBECK, Vincenz
5/12/1754	2/09/1812	HOFFMEISTER, Franz Anton
12/26/1762	2/09/1817	TAUSCH, Franz Wilhelm
7/27/1877	2/09/1960	DOHNANYI, Ernst von
12/22/1874	2/11/1939	SCHMIDT, Franz
12/08/1731	2/12/1799	DUSEK, František Xaver
12/09/1837	2/12/1915	WALDTEUFEL, Charles-Emile
1/31/1906	2/12/1973	FRANKEL, Benjamin
3/26/1923	2/12/1976	WILLIAMS, James Clifton
4/03/1627	2/13/1693	KERLL, Johann Caspar
5/22/1813	2/13/1883	WAGNER, Wilhelm Richard
1730	2/14/1790	BOND, Capel
6/01/1804	2/15/1857	GLINKA, Mikhail Ivanovich
12/12/1887	2/15/1974	ATTERBERG, Kurt
8/04/1910	2/15/1992	SCHUMAN, William Howard
1/17/1734	2/16/1829	GOSSEC, François-Joseph
2/22/1834	2/16/1910	ZABEL, Albert Heinrich
6/30/1892	2/16/1963	LAJTHA, Laszlo
10/28/1896	2/16/1981	HANSON, Howard
12/30/1904	2/16/1987	KABALEVSKY, Dmitri Borisovich
2/20/1770	2/17/1841	CARULLI, Ferdinando
1598	2/19/1653	ROSSI, Luigi
5/08/1742	2/19/1790	KRUMPHOLTZ, Johann Baptist
2/15/1847	2/19/1927	FUCHS, Robert
12/04/1879	2/19/1941	HARTY, Sir Herbert Hamilton
1563	2/20/1626	DOWLAND, John
7/08/1882	2/20/1961	GRAINGER, Percy Aldridge
3/13/1860	2/22/1903	WOLF, Hugo
6/01/1653	2/23/1704	MUFFAT, Georg
6/02/1857	2/23/1934	ELGAR, Sir Edward William
